"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2023","2024"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Індекс споживчих цін","Річна","105.1","112"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Продукти харчування та безалкогольні напої","Річна","104","114.1"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Алкогольні напої, тютюнові вироби","Річна","109.6","113.2"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Одяг і взуття","Річна","93.7","95.7"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Житло, вода, електроенергія, газ та інші види палива","Річна","112.8","118.9"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Річна","100.7","102.1"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Охорона здоров’я","Річна","108.7","113.2"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Транспорт","Річна","103.2","107.1"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Зв’язок","Річна","101.5","109.1"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Відпочинок і культура","Річна","98.9","101"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Освіта","Річна","112.8","112"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Ресторани та готелі","Річна","113","113.2"
"Індекс споживчих цін","Грудень до грудня попереднього року","Україна","Різні товари та послуги","Річна","111.3","109.7"
"Індекс споживчих цін","Грудень до грудня попереднього року","Автономна Республіка Крим","Індекс споживчих цін","Річна","",""
"Індекс споживчих цін","Грудень до грудня попереднього року","Вінницька","Індекс споживчих цін","Річна","104.4","111.2"
"Індекс споживчих цін","Грудень до грудня попереднього року","Волинська","Індекс споживчих цін","Річна","105.8","113.1"
"Індекс споживчих цін","Грудень до грудня попереднього року","Дніпропетровська","Індекс споживчих цін","Річна","104.7","111.2"
"Індекс споживчих цін","Грудень до грудня попереднього року","Донецька","Індекс споживчих цін","Річна","105.1","111.8"
"Індекс споживчих цін","Грудень до грудня попереднього року","Житомирська","Індекс споживчих цін","Річна","105.3","111.3"
"Індекс споживчих цін","Грудень до грудня попереднього року","Закарпатська","Індекс споживчих цін","Річна","105.8","112.3"
"Індекс споживчих цін","Грудень до грудня попереднього року","Запорізька","Індекс споживчих цін","Річна","105.9","110.7"
"Індекс споживчих цін","Грудень до грудня попереднього року","Івано-Франківська","Індекс споживчих цін","Річна","105.1","112.2"
"Індекс споживчих цін","Грудень до грудня попереднього року","Київська","Індекс споживчих цін","Річна","105.3","112"
"Індекс споживчих цін","Грудень до грудня попереднього року","Кіровоградська","Індекс споживчих цін","Річна","105.4","113.8"
"Індекс споживчих цін","Грудень до грудня попереднього року","Луганська","Індекс споживчих цін","Річна","105.3","111.6"
"Індекс споживчих цін","Грудень до грудня попереднього року","Львівська","Індекс споживчих цін","Річна","105","111.8"
"Індекс споживчих цін","Грудень до грудня попереднього року","Миколаївська","Індекс споживчих цін","Річна","105.4","113.3"
"Індекс споживчих цін","Грудень до грудня попереднього року","Одеська","Індекс споживчих цін","Річна","104","111.6"
"Індекс споживчих цін","Грудень до грудня попереднього року","Полтавська","Індекс споживчих цін","Річна","104.3","112.3"
"Індекс споживчих цін","Грудень до грудня попереднього року","Рівненська","Індекс споживчих цін","Річна","104.9","112"
"Індекс споживчих цін","Грудень до грудня попереднього року","Сумська","Індекс споживчих цін","Річна","104.5","112.4"
"Індекс споживчих цін","Грудень до грудня попереднього року","Тернопільська","Індекс споживчих цін","Річна","104.4","112.6"
"Індекс споживчих цін","Грудень до грудня попереднього року","Харківська","Індекс споживчих цін","Річна","105.5","112"
"Індекс споживчих цін","Грудень до грудня попереднього року","Херсонська","Індекс споживчих цін","Річна","101.7","111.1"
"Індекс споживчих цін","Грудень до грудня попереднього року","Хмельницька","Індекс споживчих цін","Річна","106.3","111.5"
"Індекс споживчих цін","Грудень до грудня попереднього року","Черкаська","Індекс споживчих цін","Річна","105.3","111.7"
"Індекс споживчих цін","Грудень до грудня попереднього року","Чернівецька","Індекс споживчих цін","Річна","105.1","111.2"
"Індекс споживчих цін","Грудень до грудня попереднього року","Чернігівська","Індекс споживчих цін","Річна","104.7","112.1"
"Індекс споживчих цін","Грудень до грудня попереднього року","Київ","Індекс споживчих цін","Річна","106.3","113.5"
"Індекс споживчих цін","Грудень до грудня попереднього року","Севастополь","Індекс споживчих цін","Річна","",""
"Індекс споживчих цін","Рік до попереднього року","Україна","Індекс споживчих цін","Річна","112.9","106.5"
"Індекс споживчих цін","Рік до попереднього року","Україна","Продукти харчування та безалкогольні напої","Річна","114.7","104.9"
"Індекс споживчих цін","Рік до попереднього року","Україна","Алкогольні напої, тютюнові вироби","Річна","114.6","109.1"
"Індекс споживчих цін","Рік до попереднього року","Україна","Одяг і взуття","Річна","99.5","94.5"
"Індекс споживчих цін","Рік до попереднього року","Україна","Житло, вода, електроенергія, газ та інші види палива","Річна","110","116.4"
"Індекс споживчих цін","Рік до попереднього року","Україна","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Річна","112.7","100"
"Індекс споживчих цін","Рік до попереднього року","Україна","Охорона здоров’я","Річна","112.8","110.7"
"Індекс споживчих цін","Рік до попереднього року","Україна","Транспорт","Річна","112.1","107.2"
"Індекс споживчих цін","Рік до попереднього року","Україна","Зв’язок","Річна","107.8","102.5"
