"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Рис","Місячна","59.97","59.13","57.66","56.73","55.86","53.98","53.28","53.5","52.52","52.05","51.6","51.36","51.28","51.65","51.48","51.53","51.98","52.32","53.14","53.82","54.37","55.23","55.65","56.11","56.2","56.18","55.83","55.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб пшеничний з борошна вищого ґатунку","Місячна","41.12","41.6","41.56","41.81","42.05","41.9","41.93","42.35","42.44","42.7","43.02","43.43","44.07","44.44","44.89","45.31","45.76","46.36","47.54","48.5","48.94","49.9","50.98","51.91","53.7","54.27","54.86","56.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб пшеничний з борошна першого ґатунку","Місячна","34.2","34.64","34.67","34.81","34.72","34.65","34.88","35.11","35.16","35.47","35.77","36.02","35.72","35.94","36.38","36.64","36.76","37.09","38.35","39.59","40.03","40.81","41.29","42.52","43.42","43.69","44.25","45.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб житній, житньо-пшеничний","Місячна","35.06","35.21","35.37","35.56","35.85","35.95","36.02","35.83","36.18","36.48","36.72","36.8","37.41","37.36","37.54","37.67","37.95","38.37","39.95","40.93","41.76","42.67","43.81","45.12","45.45","45.64","46.15","46.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Батон","Місячна","21.83","21.95","22.14","22.3","22.25","22.33","22.38","22.53","22.66","22.8","22.96","22.96","23.04","23.13","23.28","23.43","23.63","23.98","24.6","25.39","26","26.26","26.94","27.78","28.46","28.62","28.96","28.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Макаронні вироби з м’яких сортів пшениці","Місячна","31.76","31.82","31.98","31.96","31.53","31.12","30.76","30.89","30.41","30.26","29.8","29.79","29.89","29.95","29.96","29.94","29.84","29.8","30.16","31.35","32.6","32.88","33.33","33.77","33.95","34.87","35.11","35.52"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Борошно пшеничне","Місячна","16.85","16.71","16.68","16.62","16.55","16.4","16.29","15.89","16.03","15.89","15.81","15.85","15.69","15.79","15.68","15.52","15.56","15.95","16.52","17.21","18.15","18.66","19.21","19.93","20.43","20.73","21.34","21.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи манні","Місячна","21.67","21.39","21.36","21.78","21.63","21.58","21.34","21.69","21.73","21.83","21.53","21.29","21.27","21.53","21.88","21.86","21.91","22.27","22.51","22.66","23.24","23.98","25.15","26.31","27.27","27.66","28.12","28.19"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи гречані","Місячна","68.87","65.73","62.41","59.79","55.9","51.86","48.26","45.61","41.43","36.52","32.98","30.46","28.87","27.97","27.36","26.36","26.83","28.26","29.67","29.6","29.79","30.98","33.4","35.19","35.4","35.63","35.88","35.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи ячні","Місячна","17.47","17.23","17.15","17.12","16.66","16.86","16.94","16.92","16.96","16.99","16.31","15.92","15.51","15.49","15.4","15.31","15.31","15.61","16.28","17.02","17.78","18.76","19.01","19.9","20.61","21.23","21.61","21.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Пшоно","Місячна","26.08","27.23","28.59","29.53","30.05","30.46","30.4","30.71","30.77","29.71","28.06","26.59","25.41","25.07","24.68","24.37","24.14","24.3","24.62","24.26","24.25","24.67","25.35","25.41","25.55","25.75","25.91","25.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи пшеничні","Місячна","17.96","17.89","17.65","17.45","17.77","17.68","17.87","18.01","17.43","16.8","17.02","17.04","17.16","16.71","16.6","16.42","16.34","16.93","17.75","17.95","18.23","18.8","19.22","20.18","20.67","20.92","21.15","21.58"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Яловичина","Місячна","204.95","203.61","206.36","210.95","214.6","219.04","223.52","227.99","230.59","233.76","238.05","243.64","251.64","260.15","263.97","266.1","268.23","269.24","270.01","270.56","273.8","279.76","284.53","288.73","293.27","297.92","303.16","307.16"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Свинина","Місячна","167.79","166.2","167.65","181.84","188.17","195.2","197.64","201.28","203.64","202.39","196.09","193.6","184.72","179.81","177.13","177.48","179.35","175.91","177.47","182","182.74","183.61","183.31","184.76","188.05","190.23","193.68","212.72"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Птиця (тушки курячі)","Місячна","82.45","84.63","86.71","87.67","87.56","88.69","90.37","91.43","91.5","91.67","91.27","90.25","89.92","88.31","87.89","88.03","89.28","87.35","86.76","86.79","90.95","92.22","92.38","92.55","91.45","91.85","94.95","98.15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Філе куряче","Місячна","139.65","142.22","145.56","147.59","149.69","150.78","153.56","155.87","159.19","159.95","159.61","160.74","159.8","158.03","159.66","158.9","159.83","158.04","158.62","162.86","168.26","170.31","170.97","172.42","172.09","171.83","176.09","184.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Ковбаси варені першого ґатунку","Місячна","157.84","159.81","159.3","159.86","162.48","163.77","164.64","166.47","168.59","168.06","169.66","171.55","169.42","169.98","167.19","169.26","171.47","171.88","170.85","173.94","172.6","178.24","175.75","180.64","178.56","182.13","185.46","188.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Риба морожена","Місячна","156.31","158.87","158.69","160.29","160.97","160.87","161.97","162.06","161.19","161.59","160.63","160.63","163.87","164.43","165.43","168.5","170.7","173.93","174.13","173.96","175.55","178.69","180.59","184.57","186.77","188.42","188.84","191.22"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Молоко пастеризоване жирністю до 2,6% включно","Місячна","35.24","35.42","35.9","35.69","35.66","35.78","36.1","36.33","36.23","36.63","37.09","37.69","38.15","38.7","38.98","39.41","38.65","38.73","39.01","39.4","40.13","41.62","43.71","45.64","45.89","46.25","47.15","47.71"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сири м’які жирні","Місячна","162.98","163.82","165.04","164.73","166.28","165.07","165.34","164.81","165.38","168.54","174.8","176.76","181.13","185.9","185.06","186.29","185.93","187.58","188.06","189.01","193.94","201.24","209.35","217.36","221.2","225.99","226.94","225.46"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сметана жирністю до 15% включно","Місячна","96.5","96.74","97.54","98.22","98.7","99.15","98.77","99.08","98.65","100.86","103.64","104.27","106.34","107.25","108.2","110.18","110.08","110.24","110.49","112.39","116.48","119.61","124.99","130.85","135.46","136.95","136.4","137.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Яйця","Місячна","63.12","61.95","63.11","57.78","44.5","42.39","38.99","39.02","44.18","48.75","49.37","56.18","51.02","49.6","41.54","33.45","28.55","32.97","29.28","31.44","35.27","41.78","65.05","64.24","49.39","51.14","60.74","59.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Масло вершкове","Місячна","66.64","66.58","66.99","66.94","67.15","67.21","67.51","67.12","68.06","70.05","71.79","74.09","75.65","77.91","78.61","79.5","79.92","80.53","81.14","82.1","84.99","91.51","96.81","102.23","105.34","106.43","107.81","107.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Олія соняшникова","Місячна","70.29","69.98","69.42","68.46","67.38","65.77","65.13","64.78","63.8","61.84","60.43","59.18","58.89","58.33","57.27","57.84","57.98","58.76","60.45","61.52","62.97","65.02","68.6","72.73","75.27","77.98","79.76","80.2"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сало","Місячна","171.06","167.73","167.33","167.12","164.54","162.26","161.43","166.03","167.33","170.07","172.98","173.5","174.26","173.1","169.88","167.55","164.87","161.09","160.1","160.58","161.36","163.89","165.85","166.19","166.96","167.3","166.7","167.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Яблука","Місячна","15.7","16.48","18.47","21.91","29.79","35.79","37.06","31.03","21.98","20.07","19.32","20.49","22.05","23.18","23.83","24.59","25.56","26.9","27.83","28.33","26.47","30.31","33.92","35.22","36.23","37.92","41.64","46.35"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Капуста білокачанна","Місячна","12.81","13.87","22.22","23.76","37.55","45.62","23.33","11.04","9.07","8.5","8.83","11.19","14.31","14.77","14","13.22","16.34","11.28","12.75","30.31","28.01","29.73","30.46","34.02","40.46","45.75","46.65","49.72"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Цибуля ріпчаста","Місячна","32.08","42.31","52.13","52.69","56.21","54.97","36.11","18.07","12.88","13.08","13.38","15.09","16.86","16.99","16.75","16.03","25.93","24.36","14.8","16.32","15.61","16.37","17.13","17.12","17.02","15.81","15.66","19.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Буряк","Місячна","12.15","11.43","10.88","9.8","9.69","10.44","32.36","14.6","10.25","9.19","9.43","11.47","16.14","17.1","16.92","17.8","25.52","32.92","20.32","14.39","14.21","16.35","17.79","19.65","21.8","22.18","23.75","27.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Морква","Місячна","24.45","28.8","39.61","43.95","54.73","59.61","47.47","17.58","11.03","9.5","9.5","11.43","14.43","14.19","12.78","12.06","16.61","29.75","22.37","15.46","16.65","21.52","26.98","28.59","32.41","34.37","36.94","38.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Картопля","Місячна","9.4","9.57","9.55","9.49","9.89","12.04","20.25","12.87","10.95","10.16","11.9","15.13","21.46","22.75","22.73","22.45","24.53","28.39","20.08","19.73","20.67","25.85","29.79","29.74","30.09","29.87","30.12","30.63"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Цукор","Місячна","35.27","35.31","35.52","35.4","35.27","35.31","35.71","36.45","36.89","36.07","34.53","33.29","32.23","31.43","30.66","29.92","30.07","31.04","34.78","35.66","35.09","33.55","33.12","33.16","33.06","32.92","33.04","33.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Молочні суміші для дитячого харчування","Місячна","120.59","126.23","128.1","132.09","132.51","134.51","136.12","137.08","137.89","141.33","143.38","143.17","143.17","143.43","143.94","144.88","146.21","147.34","147.54","148.99","146.52","148.52","147.94","148.54","149.42","149.99","153.38","155.03"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Горілка","Місячна","117.33","118.16","118.73","119.05","120.13","119.48","120.44","120.76","119.57","118.7","119.14","118.3","117.97","117.77","117.41","115.87","115.75","115.4","115.1","116.83","116.52","116.98","116.93","116.45","116.99","118.73","119.87","118.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Вина столові вітчизняні","Місячна","101.28","101.87","104.17","105.99","107.1","107.28","109.54","109.1","109.44","110.18","110.1","109.06","111.29","110.5","110.04","109.97","109.18","111.18","112.06","110.47","110.41","112.93","113.46","113.87","116.07","115.72","117.03","118.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Пиво вітчизняних марок","Місячна","29.11","29.53","30.04","30.49","31.03","31.17","31.26","31.31","31.46","31.42","31.66","31.79","31.8","31.89","31.65","31.92","31.93","31.96","32.61","32.56","33.22","33.59","33.86","34","34.3","34.24","34.95","35.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сигарети з фільтром вітчизняних марок","Місячна","64.47","65.2","66.01","67.72","68.68","70.43","71.42","72.48","73.26","74.44","75","75.27","76.17","76.6","76.96","77.41","78.45","79.95","81.57","84.14","86.76","89.52","91.15","92.62","95.08","96.79","99.6","102.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сигарети з фільтром медіум класу","Місячна","70.29","71.36","71.97","72.81","73.86","74.85","76.06","77.49","78.88","79.91","80.66","81.4","82.31","83.5","84.86","85.92","87.14","88.71","89.96","90.76","93.5","96.16","98.28","101.8","104.3","106.54","108.58","111.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сигарети з фільтром преміум класу","Місячна","83.8","85.06","86.06","86.94","87.82","89.07","90.21","91.81","93.15","94","94.81","96.17","97.75","100.14","101.41","103.14","104.72","106.07","107.01","108.33","110.81","113.69","116.1","118.69","121.86","124.21","127.96","131.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сигарети без фільтру","Місячна","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Плата за оренду 1-кімнатної квартири","Місячна","5993.72","5989.24","6031.86","6101.28","6139.27","6230.12","6251.78","6419.77","6452.19","6519.15","6584.69","6605.25","6817.78","6819.25","6850.7","6879.83","6942.29","6931.77","6915.83","6961.82","7098","7148.91","7202.56","7219.57","7326.11","7382.52","7413.19","7446.44"
