"year","geoid","name","geography_level","road_rage_incidents","road_rage_shootings","victims_killed","victims_injured","victims_shot","suspects_killed","suspects_injured","suspects_shot","total_killed","total_injured","total_shot","incident_rate_100k","shooting_rate_100k","population","state_code","region","division"
2020,10180,"Abilene, TX","cbsa",4,1,0,1,1,0,0,0,0,1,1,2.2615991767779,0.565399794194475,176866,"NA","NA","NA"
2021,10180,"Abilene, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,177829,"NA","NA","NA"
2022,10180,"Abilene, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,179308,"NA","NA","NA"
2023,10180,"Abilene, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,182838,"NA","NA","NA"
2024,10180,"Abilene, TX","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.542658374846699,0.542658374846699,184278,"NA","NA","NA"
2020,10300,"Adrian, MI","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,99320,"NA","NA","NA"
2021,10300,"Adrian, MI","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,99202,"NA","NA","NA"
2022,10300,"Adrian, MI","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,98567,"NA","NA","NA"
2023,10300,"Adrian, MI","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,97621,"NA","NA","NA"
2024,10300,"Adrian, MI","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,97746,"NA","NA","NA"
2020,10420,"Akron, OH","cbsa",2,1,0,1,1,0,0,0,0,1,1,0.285052556565117,0.142526278282558,701625,"NA","NA","NA"
2021,10420,"Akron, OH","cbsa",2,1,0,1,1,0,0,0,0,1,1,0.28726345649754,0.14363172824877,696225,"NA","NA","NA"
2022,10420,"Akron, OH","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,697627,"NA","NA","NA"
2023,10420,"Akron, OH","cbsa",1,1,1,0,1,0,0,0,1,0,1,0.142837961759421,0.142837961759421,700094,"NA","NA","NA"
2024,10420,"Akron, OH","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.142407744702788,0.142407744702788,702209,"NA","NA","NA"
2020,10460,"Alamogordo, NM","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,67873,"NA","NA","NA"
2021,10460,"Alamogordo, NM","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,68538,"NA","NA","NA"
2022,10460,"Alamogordo, NM","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,68823,"NA","NA","NA"
2023,10460,"Alamogordo, NM","cbsa",1,1,0,1,1,0,0,0,0,1,1,1.44187790177928,1.44187790177928,69354,"NA","NA","NA"
2024,10460,"Alamogordo, NM","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,69711,"NA","NA","NA"
2020,10540,"Albany-Lebanon, OR","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,128978,"NA","NA","NA"
2021,10540,"Albany-Lebanon, OR","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,129948,"NA","NA","NA"
2022,10540,"Albany-Lebanon, OR","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,130467,"NA","NA","NA"
2023,10540,"Albany, OR","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,131509,"NA","NA","NA"
2024,10540,"Albany, OR","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,132474,"NA","NA","NA"
2020,10580,"Albany-Schenectady-Troy, NY","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.111142230935773,0.111142230935773,899748,"NA","NA","NA"
2021,10580,"Albany-Schenectady-Troy, NY","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.110452202361689,0.110452202361689,905369,"NA","NA","NA"
2022,10580,"Albany-Schenectady-Troy, NY","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,904617,"NA","NA","NA"
2023,10580,"Albany-Schenectady-Troy, NY","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,907223,"NA","NA","NA"
2024,10580,"Albany-Schenectady-Troy, NY","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,913485,"NA","NA","NA"
2020,10700,"Albertville, AL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,97696,"NA","NA","NA"
2021,10700,"Albertville, AL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,98316,"NA","NA","NA"
2022,10700,"Albertville, AL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,99423,"NA","NA","NA"
2023,10700,"Albertville, AL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,101041,"NA","NA","NA"
2024,10700,"Albertville, AL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,102156,"NA","NA","NA"
2020,10740,"Albuquerque, NM","cbsa",4,1,1,1,2,0,0,0,1,1,2,0.435966352116944,0.108991588029236,917502,"NA","NA","NA"
2021,10740,"Albuquerque, NM","cbsa",10,9,7,0,7,1,3,4,8,3,11,1.08817480440058,0.979357323960521,918970,"NA","NA","NA"
2022,10740,"Albuquerque, NM","cbsa",6,6,4,3,7,0,0,0,4,3,7,0.652498034349671,0.652498034349671,919543,"NA","NA","NA"
2023,10740,"Albuquerque, NM","cbsa",10,10,4,6,10,0,0,0,4,6,10,1.08286400202712,1.08286400202712,923477,"NA","NA","NA"
2024,10740,"Albuquerque, NM","cbsa",5,5,4,2,6,0,0,0,4,2,6,0.53978017991953,0.53978017991953,926303,"NA","NA","NA"
2020,10780,"Alexandria, LA","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,151792,"NA","NA","NA"
2021,10780,"Alexandria, LA","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.662427133015368,0.662427133015368,150960,"NA","NA","NA"
2022,10780,"Alexandria, LA","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,149189,"NA","NA","NA"
2023,10780,"Alexandria, LA","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,148382,"NA","NA","NA"
2024,10780,"Alexandria, LA","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,148008,"NA","NA","NA"
2020,10900,"Allentown-Bethlehem-Easton, PA-NJ","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,861508,"NA","NA","NA"
2021,10900,"Allentown-Bethlehem-Easton, PA-NJ","cbsa",3,3,1,2,3,0,0,0,1,2,3,0.344920754456664,0.344920754456664,869765,"NA","NA","NA"
2022,10900,"Allentown-Bethlehem-Easton, PA-NJ","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.114780384950455,0.114780384950455,871229,"NA","NA","NA"
2023,10900,"Allentown-Bethlehem-Easton, PA-NJ","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,878487,"NA","NA","NA"
2024,10900,"Allentown-Bethlehem-Easton, PA-NJ","cbsa",1,1,0,2,2,0,0,0,0,2,2,0.112813593586773,0.112813593586773,886418,"NA","NA","NA"
2020,11100,"Amarillo, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,269018,"NA","NA","NA"
2021,11100,"Amarillo, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,269853,"NA","NA","NA"
2022,11100,"Amarillo, TX","cbsa",2,2,0,2,2,0,0,0,0,2,2,0.737541993797272,0.737541993797272,271171,"NA","NA","NA"
2023,11100,"Amarillo, TX","cbsa",1,1,0,0,0,0,2,2,0,2,2,0.366325861506845,0.366325861506845,272981,"NA","NA","NA"
2024,11100,"Amarillo, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,274650,"NA","NA","NA"
2020,11260,"Anchorage, AK","cbsa",3,2,2,0,2,0,0,0,2,0,2,0.753047961624676,0.502031974416451,398381,"NA","NA","NA"
2021,11260,"Anchorage, AK","cbsa",1,0,0,0,0,0,0,0,0,0,0,0.250149464304922,0,399761,"NA","NA","NA"
2022,11260,"Anchorage, AK","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,400470,"NA","NA","NA"
2023,11260,"Anchorage, AK","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,403228,"NA","NA","NA"
2024,11260,"Anchorage, AK","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,407213,"NA","NA","NA"
2023,11360,"Anderson Creek, NC","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,141792,"NA","NA","NA"
2024,11360,"Anderson Creek, NC","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.684481436863432,0.684481436863432,146096,"NA","NA","NA"
2020,11380,"Andrews, TX","cbsa",1,0,0,0,0,0,0,0,0,0,0,5.3714347102111,0,18617,"NA","NA","NA"
2021,11380,"Andrews, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,18411,"NA","NA","NA"
2022,11380,"Andrews, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,18334,"NA","NA","NA"
2023,11380,"Andrews, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,18722,"NA","NA","NA"
2024,11380,"Andrews, TX","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,18923,"NA","NA","NA"
2020,11420,"Angola, IN","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,34453,"NA","NA","NA"
2021,11420,"Angola, IN","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,34666,"NA","NA","NA"
2022,11420,"Angola, IN","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,34725,"NA","NA","NA"
2023,11420,"Angola, IN","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,34876,"NA","NA","NA"
