"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Рис","Місячна","51.28","51.65","51.48","51.53","51.98","52.32","53.14","53.82","54.37","55.23","55.65","56.11","56.2","56.18","55.83","55.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб пшеничний з борошна вищого ґатунку","Місячна","44.07","44.44","44.89","45.31","45.76","46.36","47.54","48.5","48.94","49.9","50.98","51.91","53.7","54.27","54.86","56.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб пшеничний з борошна першого ґатунку","Місячна","35.72","35.94","36.38","36.64","36.76","37.09","38.35","39.59","40.03","40.81","41.29","42.52","43.42","43.69","44.25","45.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб житній, житньо-пшеничний","Місячна","37.41","37.36","37.54","37.67","37.95","38.37","39.95","40.93","41.76","42.67","43.81","45.12","45.45","45.64","46.15","46.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Батон","Місячна","23.04","23.13","23.28","23.43","23.63","23.98","24.6","25.39","26","26.26","26.94","27.78","28.46","28.62","28.96","28.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Макаронні вироби з м’яких сортів пшениці","Місячна","29.89","29.95","29.96","29.94","29.84","29.8","30.16","31.35","32.6","32.88","33.33","33.77","33.95","34.87","35.11","35.52"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Борошно пшеничне","Місячна","15.69","15.79","15.68","15.52","15.56","15.95","16.52","17.21","18.15","18.66","19.21","19.93","20.43","20.73","21.34","21.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи манні","Місячна","21.27","21.53","21.88","21.86","21.91","22.27","22.51","22.66","23.24","23.98","25.15","26.31","27.27","27.66","28.12","28.19"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи гречані","Місячна","28.87","27.97","27.36","26.36","26.83","28.26","29.67","29.6","29.79","30.98","33.4","35.19","35.4","35.63","35.88","35.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи ячні","Місячна","15.51","15.49","15.4","15.31","15.31","15.61","16.28","17.02","17.78","18.76","19.01","19.9","20.61","21.23","21.61","21.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Пшоно","Місячна","25.41","25.07","24.68","24.37","24.14","24.3","24.62","24.26","24.25","24.67","25.35","25.41","25.55","25.75","25.91","25.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи пшеничні","Місячна","17.16","16.71","16.6","16.42","16.34","16.93","17.75","17.95","18.23","18.8","19.22","20.18","20.67","20.92","21.15","21.58"
